2017-07-14 00:11:38,299 [Dummy-1:140018938324736] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-07-14 00:11:38,334 [Dummy-1:140018938324736] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-07-14 00:11:38,335 [Dummy-1:140018938324736] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-07-14 00:11:38,339 [Dummy-1:140018938324736] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-07-14 00:11:48,032 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-07-14 00:11:48,033 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-07-14 00:11:48,034 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'jhqp58c8sg48diloryoinwcbquiin5fs' AND `django_session`.`expire_date` > '2017-07-14 00:11:48.029857'); args=('jhqp58c8sg48diloryoinwcbquiin5fs', '2017-07-14 00:11:48.029857')
2017-07-14 00:11:48,073 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_goodscategory`.`id`, `shop_goodscategory`.`category_name`, `shop_goodscategory`.`is_delete` FROM `shop_goodscategory` ORDER BY `shop_goodscategory`.`id` ASC; args=()
2017-07-14 00:11:48,090 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `users_userprofile`.`id`, `users_userprofile`.`password`, `users_userprofile`.`last_login`, `users_userprofile`.`is_superuser`, `users_userprofile`.`username`, `users_userprofile`.`first_name`, `users_userprofile`.`last_name`, `users_userprofile`.`email`, `users_userprofile`.`is_staff`, `users_userprofile`.`is_active`, `users_userprofile`.`date_joined`, `users_userprofile`.`receiver_name`, `users_userprofile`.`telephone_number`, `users_userprofile`.`city`, `users_userprofile`.`address`, `users_userprofile`.`gender`, `users_userprofile`.`register_date` FROM `users_userprofile` WHERE `users_userprofile`.`id` = 10; args=(10,)
2017-07-14 00:11:48,100 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_goodscategory`.`id`, `shop_goodscategory`.`category_name` FROM `shop_goodscategory` ORDER BY `shop_goodscategory`.`id` ASC LIMIT 1; args=()
2017-07-14 00:11:48,101 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_goodscategory`.`id`, `shop_goodscategory`.`category_name` FROM `shop_goodscategory` ORDER BY `shop_goodscategory`.`id` ASC LIMIT 1; args=()
2017-07-14 00:11:48,102 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_goodscategory`.`id`, `shop_goodscategory`.`category_name` FROM `shop_goodscategory` ORDER BY `shop_goodscategory`.`id` ASC LIMIT 1 OFFSET 1; args=()
2017-07-14 00:11:48,104 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_goodscategory`.`id`, `shop_goodscategory`.`category_name` FROM `shop_goodscategory` ORDER BY `shop_goodscategory`.`id` ASC LIMIT 1 OFFSET 1; args=()
2017-07-14 00:11:48,105 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_goodscategory`.`id`, `shop_goodscategory`.`category_name` FROM `shop_goodscategory` ORDER BY `shop_goodscategory`.`id` ASC LIMIT 1 OFFSET 2; args=()
2017-07-14 00:11:48,106 [Thread-2:140018911180544] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_goodscategory`.`id`, `shop_goodscategory`.`category_name` FROM `shop_goodscategory` ORDER BY `shop_goodscategory`.`id` ASC LIMIT 1 OFFSET 2; args=()
